scorer,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000
bodyparts,Snout,Snout,Snout,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,TailBase,TailBase,TailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data\20180910_Trial6\img13051.png,521.2314834594727,154.84620559215546,8.949214702624886e-07,530.1208721399307,165.02897477149963,0.9999912977218628,519.059487581253,140.3755292892456,1.0,572.6862090826035,169.7549433708191,0.001466546324081719
labeled-data\20180910_Trial6\img13058.png,520.5039665699005,155.43122071027756,8.25110532787221e-07,531.4447773098946,163.96849009767175,0.9999850988388062,519.1403849124908,138.26247787475586,1.0,572.4510480761528,169.04959273338318,6.792003114242107e-05
labeled-data\20180910_Trial6\img17757.png,555.5293123722076,158.64798259735107,1.7887280137074413e-06,541.913831949234,160.82279109954834,0.7913395762443542,526.549421787262,147.7847784757614,1.0,588.4911582767963,166.02613162994385,0.9999706745147705
labeled-data\20180910_Trial6\img17750.png,525.0710519552231,186.24408781528473,1.4083798305364326e-06,541.7697499990463,160.95871782302856,0.7420450448989868,526.5701596736908,147.77246528863907,1.0,588.6095699071884,166.52775073051453,0.9999487400054932
labeled-data\20180910_Trial6\img17743.png,555.1832656860352,158.5737328529358,1.9551673631212907e-06,544.5973930358887,160.35602188110352,0.388549268245697,527.5596878528595,145.87249565124512,1.0,587.0204007029533,164.61313515901566,0.5066136717796326
labeled-data\20180910_Trial6\img17470.png,526.9885704517365,184.94388389587402,1.4011188795848284e-06,549.1949741840363,158.90778279304504,0.688177227973938,531.8311735987663,144.25414085388184,1.0,587.9655358940363,168.4329719543457,0.00033765655825845897
labeled-data\20180910_Trial6\img13250.png,522.9523611068726,126.97383499145508,1.6729991330066696e-06,531.9141568914056,163.6609693467617,0.9999998807907104,522.3544387817383,135.79686665534973,1.0,579.1579023599625,178.95582342147827,0.0003577213210519403
labeled-data\20180910_Trial6\img17894.png,525.3113074302673,185.73332619667053,1.9462115687929327e-06,540.0557576864958,160.35495710372925,0.7252301573753357,524.3495927453041,148.16776843369007,1.0,586.3043429851532,165.84534204006195,0.9888097643852234
labeled-data\20180910_Trial6\img17890.png,525.3403548002243,185.68752026557922,1.9453841559879947e-06,540.0716423168778,160.6609992980957,0.83958500623703,524.3526732325554,148.14903800189495,1.0,586.3312383890152,165.87565279006958,0.9883701801300049
labeled-data\20180910_Trial6\img17443.png,1.947148084640503,2.046872854232788,1.4759311852685641e-06,555.5365117192268,142.1854681968689,1.7697608200251125e-05,550.1395003795624,119.23117852210999,0.9999014139175415,582.599773645401,130.29014027118683,0.98319411277771
labeled-data\20180910_Trial6\img17848.png,525.2297939062119,186.16015362739563,1.5491024214497884e-06,540.52677744627,162.53797054290771,0.9831358790397644,525.202897310257,148.89532881975174,1.0,587.888136960566,166.0123426914215,0.999914288520813
labeled-data\20180910_Trial6\img17940.png,538.6472351551056,159.16045951843262,1.9033973330806475e-06,541.0301921367645,163.29744011163712,0.9872796535491943,523.6580798923969,149.1934313774109,1.0,587.5967054665089,165.95615184307098,0.9998276233673096
