scorer,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000
bodyparts,Snout,Snout,Snout,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,TailBase,TailBase,TailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data\20180906_Trial6\img11003.png,275.82213592529297,165.87592792510986,6.6169508272651e-07,197.87453150749207,173.2294327020645,2.4085675249807537e-05,195.1114050745964,145.27500319480896,0.3231063187122345,276.8602157831192,166.68163871765137,1.0
labeled-data\20180906_Trial6\img11162.png,244.4732642173767,166.44103813171387,8.58988641994074e-07,181.83250272274017,166.10579347610474,1.50835512613412e-05,237.4772069454193,174.2773401737213,9.686804105513147e-07,245.5378156900406,167.36328411102295,1.0
labeled-data\20180906_Trial6\img07168.png,1.544424057006836,0.646092414855957,8.075465984802577e-08,165.80723464488983,146.18646502494812,0.995776355266571,163.33073395490646,115.40465188026428,0.017023153603076935,175.2271909713745,171.69953566789627,1.6611421642664936e-06
labeled-data\20180906_Trial6\img05594.png,257.7904815673828,166.23496437072754,1.6709519741198164e-06,191.53589606285095,150.0504071712494,1.0,204.79615533351898,122.47250258922577,0.9835104942321777,258.7994476556778,167.42755031585693,1.0
labeled-data\20180906_Trial6\img08459.png,274.12327766418457,156.08789730072021,1.4496109770334442e-06,212.87270951271057,165.51914477348328,0.9370059967041016,200.46229362487793,137.15357494354248,0.9840187430381775,272.53745460510254,158.4361867904663,1.0
labeled-data\20180906_Trial6\img11109.png,244.60237884521484,162.64543533325195,4.4181851421853935e-07,183.37997364997864,166.42387628555298,1.400910377924447e-06,181.67748260498047,132.90040564537048,1.3513172234524973e-05,245.7011423110962,162.56771326065063,1.0
labeled-data\20180906_Trial6\img11145.png,167.60896062850952,168.34158182144165,4.02052108938733e-07,194.8939082622528,163.22887325286865,1.9844132111757062e-05,185.26403141021729,133.84375274181366,0.840110182762146,247.36332845687866,166.76504611968994,1.0
labeled-data\20180906_Trial6\img11236.png,242.5917510986328,166.04257202148438,1.5584970469717518e-06,180.68467980623245,166.68213844299316,0.0021827861201018095,173.79292249679565,142.65939855575562,0.004996416158974171,243.66578996181488,166.70491313934326,1.0
labeled-data\20180906_Trial6\img05535.png,273.2528486251831,164.43328285217285,6.713318043694017e-07,197.03898537158966,173.25666093826294,8.763912774156779e-06,191.7790584564209,143.17152500152588,0.9998503923416138,275.3496470451355,163.43142175674438,1.0
labeled-data\20180906_Trial6\img11121.png,241.52735424041748,164.82066345214844,1.0125518201675732e-06,182.09815740585327,163.1449299454689,0.05561358854174614,180.35647755861282,131.70150500535965,0.022056041285395622,242.90754079818726,165.14501762390137,1.0
