scorer,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000
bodyparts,Snout,Snout,Snout,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,TailBase,TailBase,TailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data\20180906_Trial11\img06803.png,212.81781101226807,103.94504070281982,1.8214990404885611e-06,180.61325985193253,133.36954987049103,0.0005056883674114943,157.08862960338593,103.9156539440155,0.9985113739967346,215.91439080238342,103.98764991760254,1.0
labeled-data\20180906_Trial11\img11892.png,106.77991676330566,147.53473806381226,9.178876894111454e-07,186.36495089530945,171.2831676006317,2.3486015834350837e-06,124.83048516511917,146.17875242233276,0.9999985694885254,199.01859140396118,151.66115856170654,1.0
labeled-data\20180906_Trial11\img06829.png,155.24268686771393,98.23074293136597,6.571778499164793e-07,181.76677882671356,110.09409832954407,0.000228586868615821,170.46051132678986,88.4985704421997,0.9800988435745239,230.97493076324463,102.1190414428711,1.0
labeled-data\20180906_Trial11\img01607.png,405.59485948085785,148.03681387752295,4.137475002607971e-07,436.9122824668884,148.65193039178848,0.0029577931854873896,422.58933997154236,119.27010726928711,1.0,487.830598115921,117.71430969238281,1.0
labeled-data\20180906_Trial11\img11816.png,112.73465323448181,142.28103256225586,5.37448727300216e-07,191.29126381874084,141.23898434638977,1.2374033531159512e-06,133.14889574050903,133.4534775018692,0.010370147414505482,198.7265260219574,148.35513496398926,1.0
labeled-data\20180906_Trial11\img11891.png,89.84092402458191,173.69337224960327,9.626115797800594e-07,186.6300834417343,171.11308431625366,2.3360589693766087e-06,125.37073421478271,145.6644651889801,0.9999997615814209,198.84048652648926,151.45663166046143,1.0
labeled-data\20180906_Trial11\img16365.png,340.9385185241699,161.56253337860107,8.181290809261554e-07,348.5083485841751,174.21097469329834,1.162897547146713e-06,271.50460934638977,141.14114439487457,0.8996225595474243,342.41730785369873,161.87531185150146,1.0
labeled-data\20180906_Trial11\img11815.png,194.5640172958374,145.0148458480835,1.5098055428097723e-06,203.140626847744,158.15145182609558,4.0417489799438044e-06,127.84681224822998,134.2807960510254,0.0012816076632589102,194.96128511428833,145.27803230285645,1.0
labeled-data\20180906_Trial11\img11881.png,195.4952974319458,150.7599172592163,1.3152117617210024e-06,197.8292192220688,142.1224718093872,1.3480648703989573e-06,122.6062308549881,140.89694648981094,0.9999889135360718,196.8217025399208,151.402512550354,1.0
labeled-data\20180906_Trial11\img06804.png,213.2643222808838,105.45653820037842,1.7651308326094295e-06,203.1484215259552,95.47190546989441,1.5032989722385537e-05,156.94781506061554,101.95080816745758,0.8671436309814453,215.91073155403137,104.79428720474243,1.0
