scorer,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000
bodyparts,Snout,Snout,Snout,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,TailBase,TailBase,TailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data\20180906_Trial3\img05301.png,176.22870540618896,69.80487012863159,1.4088298030401347e-06,139.88205920904875,121.74863696098328,0.00015247218834701926,117.20550334453583,100.61681419610977,0.0010279009584337473,178.2510576248169,70.11950778961182,1.0
labeled-data\20180906_Trial3\img04633.png,335.1025400161743,165.61840105056763,1.620487637410406e-06,270.6341800689697,176.2331199645996,0.30215421319007874,273.6883225440979,139.38328552246094,1.0,336.4886140823364,166.30175113677979,1.0
labeled-data\20180906_Trial3\img05000.png,164.78798484802246,70.38023090362549,1.687538144778955e-07,2.3236321210861206,2.40716290473938,6.86822772877349e-07,0.553919792175293,1.0066685676574707,6.113403401286632e-07,166.7769558429718,69.57692813873291,1.0
labeled-data\20180906_Trial3\img04998.png,165.6351833343506,70.47498607635498,4.4283174815973325e-07,2.3366193771362305,2.4595941305160522,7.035127964627463e-07,0.5143699645996094,0.9978716373443604,5.957837743153505e-07,167.74809527397156,69.65841674804688,1.0
labeled-data\20180906_Trial3\img03605.png,90.15868437290192,161.74736380577087,5.589238298853161e-07,154.83579695224762,140.00572006311268,3.973638740717433e-06,0.7899079322814941,1.218278408050537,6.240373409127642e-07,166.01719307899475,116.92947292327881,1.0
labeled-data\20180906_Trial3\img05007.png,174.2763214111328,71.69874000549316,3.3420099043723894e-07,2.306378960609436,2.3768672943115234,7.016287213446049e-07,0.5715794563293457,1.0007555484771729,6.195720629875723e-07,167.05458426475525,69.7500581741333,1.0
labeled-data\20180906_Trial3\img04999.png,165.3516731262207,70.22692441940308,3.681298323954252e-07,2.3251025676727295,2.410183310508728,6.957603773116716e-07,0.5422518253326416,1.0127460956573486,6.221173975973215e-07,167.41401958465576,69.46442031860352,1.0
labeled-data\20180906_Trial3\img12976.png,189.48752975463867,89.30807638168335,1.4815382201049943e-06,112.44511938095093,99.38449764251709,5.767479706264567e-06,117.29418110847473,100.00467155687511,0.0050765410996973515,185.12079191207886,89.55801153182983,1.0
labeled-data\20180906_Trial3\img03569.png,161.5155553817749,98.4050874710083,1.4455702057603048e-06,172.3700206875801,111.69263768196106,5.770279585703975e-06,173.83455765247345,110.89017128944397,1.031788315231097e-06,162.72873210906982,98.60683965682983,1.0
labeled-data\20180906_Trial3\img05004.png,174.04193782806396,71.99998998641968,1.699209235539456e-07,2.322462797164917,2.421712279319763,6.854663752164925e-07,0.5384149551391602,1.0120301246643066,6.133439001132501e-07,167.15120697021484,70.66559028625488,1.0
