,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,5000,80,1,12.45,13.1,0.1,12.44,13.07
1,10000,80,1,8.73,9.46,0.1,8.68,9.26
2,15000,80,1,7.33,7.8,0.1,7.33,7.75
3,20000,80,1,6.65,7.85,0.1,6.63,7.85
4,25000,80,1,5.83,7.08,0.1,5.81,6.99
5,30000,80,1,5.43,6.77,0.1,5.42,6.77
6,35000,80,1,5.08,6.45,0.1,5.07,6.34
7,40000,80,1,5.08,6.79,0.1,5.07,6.69
8,45000,80,1,4.92,6.49,0.1,4.91,6.43
9,50000,80,1,4.92,6.59,0.1,4.9,6.5
10,55000,80,1,4.63,6.52,0.1,4.63,6.4
11,60000,80,1,4.43,6.24,0.1,4.43,6.17
12,65000,80,1,4.32,5.97,0.1,4.32,5.93
13,70000,80,1,4.06,6,0.1,4.06,5.92
14,75000,80,1,4.3,6.34,0.1,4.3,5.96
15,80000,80,1,3.96,5.88,0.1,3.96,5.77
16,85000,80,1,3.94,6.03,0.1,3.94,5.9
17,90000,80,1,3.84,5.83,0.1,3.84,5.67
18,95000,80,1,3.97,6.19,0.1,3.97,5.8
19,100000,80,1,3.78,6.16,0.1,3.78,5.59
20,105000,80,1,3.7,6.13,0.1,3.7,5.68
21,110000,80,1,3.73,6.21,0.1,3.73,5.58
22,115000,80,1,3.61,6.17,0.1,3.61,5.68
23,120000,80,1,4.17,6.35,0.1,4.17,6.16
24,125000,80,1,3.51,6.11,0.1,3.51,5.6
25,130000,80,1,3.84,6.1,0.1,3.84,5.81
26,135000,80,1,3.7,6.09,0.1,3.7,5.74
27,140000,80,1,3.23,5.88,0.1,3.23,5.42
28,145000,80,1,3.29,5.9,0.1,3.29,5.53
29,150000,80,1,3.2,5.78,0.1,3.2,5.38
30,155000,80,1,3.07,5.72,0.1,3.07,5.43
31,160000,80,1,3.18,5.85,0.1,3.18,5.58
32,165000,80,1,3.26,5.88,0.1,3.26,5.56
33,170000,80,1,3.34,6.08,0.1,3.34,5.57
34,175000,80,1,2.92,5.93,0.1,2.92,5.45
35,180000,80,1,2.88,5.99,0.1,2.88,5.3
36,185000,80,1,3.07,5.8,0.1,3.07,5.51
37,190000,80,1,3.09,6.05,0.1,3.09,5.49
38,195000,80,1,2.9,5.67,0.1,2.9,5.42
39,200000,80,1,3.04,5.78,0.1,3.04,5.6
