scorer,KAIST,KAIST,KAIST,KAIST,KAIST,KAIST,KAIST,KAIST
bodyparts,Snout,Snout,LeftEar,LeftEar,RightEar,RightEar,TailBase,TailBase
coords,x,y,x,y,x,y,x,y
labeled-data\20180919_Trial14\img10942.png,288.50018215023925,172.2666888605449,285.62567382486094,138.34749062108096,260.90490222660753,165.36786887963694,235.60922896327855,106.72789904191967
labeled-data\20180919_Trial14\img11004.png,428.2012867636245,105.57809571176836,405.26502152325617,118.46947061661587,425.1881962232787,140.27219009965938,361.6595825571692,160.94718271289025
labeled-data\20180919_Trial14\img09873.png,348.20250465725695,114.97944948499898,309.3309260688201,113.39285444057299,322.42033518533447,139.17502391249542,247.1072622647917,148.12081892736717
labeled-data\20180919_Trial14\img05679.png,482.2420432807366,129.1490639798704,497.502388492398,104.73881243288555,478.12448255800416,92.93040100411432,538.0075047930757,63.61027416124523
labeled-data\20180919_Trial14\img08165.png,178.50222488069724,144.12979868514242,168.2845320701599,117.0745495557785,142.6959433555603,133.21557652950287,152.24848752730787,72.80870080245575
labeled-data\20180919_Trial14\img07365.png,394.8569901892363,156.74434390350206,375.8852352417395,146.39611393214022,371.89815074294165,172.205053388906,292.5244938057688,161.34355722410737
labeled-data\20180919_Trial14\img05678.png,480.71471752661074,120.01411202306556,501.2137982282333,110.17730903237361,479.3675349553583,97.5294724007091,,
labeled-data\20180919_Trial14\img07373.png,434.1399347007349,160.18628043347303,404.05541683044686,149.27062225751848,406.70117334419126,173.90566111174488,331.6178070309137,161.34355722410737
labeled-data\20180919_Trial14\img10981.png,387.95817020832834,155.59454057335074,359.78798861962105,146.39611393214022,366.1119069354533,173.9913938557719,310.3464454231143,160.19375389395606
labeled-data\20180919_Trial14\img08166.png,169.49553747957765,150.4204255876698,173.51984913510728,123.40004732911382,144.58550691604614,134.9317705631256,154.21283840080525,68.21769792509363
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial14\img01289.png,613.5948673070081,180.7276914976876,,,597.9589933689897,144.78264303204077,539.6811151611,140.4550778185836
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial14\img01447.png,,,,,585.0582543340188,110.96053039290088,528.1462725008894,171.59167821653028
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial14\img03294.png,277.7120260879876,87.2179085023123,,,248.79500392795745,93.30432077030463,176.98947742318694,92.70594138276488
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial14\img06461.png,86.77975549298492,137.8070295766854,,,,,139.40331255665458,191.7140880321519
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial14\img07504.png,556.0917248903118,108.17699779437919,547.795278135613,132.1058454796944,578.1256392742796,133.97279999999995,,
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial14\img09699.png,,,156.41933704580157,131.79354414578964,127.7739257678169,140.42175055140513,,
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial14\img10538.png,111.65154938930391,169.97944057867898,,,,,217.70112730888164,157.22189264971783
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial14\img10860.png,242.7802106012095,75.39483249140278,,,,,157.2236171577421,115.48481283001172
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial14\img12090.png,570.6018636309734,157.08153947586857,571.8353654472052,119.81385127128817,546.9557116091544,144.18363837305816,,
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial14\img14401.png,,,553.9225811458854,126.61573292504818,531.8486726547924,114.8429817297986,,
