scorer,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000,DeepCut_resnet101_LinearChamberNov19shuffle1_1030000
bodyparts,Snout,Snout,Snout,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,TailBase,TailBase,TailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data\20180919_Trial9\img15383.png,617.972817659378,156.38846734166145,9.083844361157389e-07,8.08557653427124,-0.07173824310302734,1.8647833712748252e-06,1.9763617515563965,6.231494188308716,2.7587745989876566e-06,572.4762293696404,137.52573084831238,0.0015742958057671785
labeled-data\20180919_Trial9\img06129.png,574.4023063182831,1.383430004119873,1.453911295357102e-06,553.8993525505066,109.457066655159,0.0019710203632712364,560.8177168369293,110.43578243255615,0.6878319978713989,580.9501914978027,101.09982085227966,0.0005003887927159667
labeled-data\20180919_Trial9\img08314.png,1.9338550567626953,1.0718011856079102,1.667667561378039e-06,553.8134763240814,127.32763290405273,5.3683932492276654e-05,549.450779914856,116.62471807003021,0.9266337752342224,585.9806387424469,123.5124703347683,0.021997733041644096
labeled-data\20180919_Trial9\img08310.png,556.0986554473639,125.37090539932251,1.543862254038686e-06,541.8506095409393,128.98605155944824,7.447165444318671e-06,543.461508512497,127.65508937835693,2.8086402380722575e-05,585.6006207466125,124.34633982181549,0.025046076625585556
labeled-data\20180919_Trial9\img07393.png,538.6114585399628,95.93443655967712,1.5840953437873395e-06,566.5664324760437,140.03647766262293,1.14594304250204e-05,2.419848084449768,5.179059267044067,3.3543749395903433e-06,559.7529487609863,135.65952110290527,0.9918990135192871
labeled-data\20180919_Trial9\img08312.png,2.0267058610916138,1.1215307712554932,1.4687660723211593e-06,550.9018564224243,141.0113002061844,0.008372836746275425,547.8882088065147,119.94910287857056,0.6400685906410217,585.7597591876984,123.85307756066322,0.09887136518955231
labeled-data\20180919_Trial9\img08349.png,1.9704203605651855,0.7477810382843018,1.1760523648263188e-06,549.6994959115982,146.91153872013092,0.08547992259263992,548.6094843149185,112.32231521606445,0.9977276921272278,585.6459574699402,124.57551074028015,0.18780554831027985
labeled-data\20180919_Trial9\img08343.png,570.1568449735641,112.27313041687012,1.7349285599266295e-06,6.932858467102051,-0.7437958717346191,2.959518042189302e-06,555.3565771579742,110.81487846374512,4.969818110112101e-05,585.6413760185242,122.83064496517181,0.5693691968917847
labeled-data\20180919_Trial9\img08313.png,1.9252722263336182,1.060251235961914,1.6573364973737625e-06,553.5469789505005,127.56928825378418,7.298694981727749e-05,548.8691022992134,114.49539375305176,0.877490758895874,586.0652334690094,123.8404001891613,0.014815005473792553
labeled-data\20180919_Trial9\img07396.png,521.8638694286346,126.93979096412659,1.4148240552458446e-06,554.6725751161575,143.01538825035095,5.888286523259012e-06,2.160224199295044,6.2072296142578125,2.69871020464052e-06,554.5614588260651,140.31966868042946,0.46798789501190186
labeled-data\20180919_Trial9\img08309.png,570.1542570590973,126.39959478378296,1.7285767626162851e-06,586.0856046676636,127.99904346466064,2.2296964743873104e-05,547.1495420336723,137.04216861724854,2.7803544071502984e-05,585.7013602256775,125.98904943466187,0.9376291632652283
